"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 21 07:05:01 UTC 2023","Sat Oct 21 07:05:02 UTC 2023","563","tests","test_api_members","","","","test_update_member",""
"passed","Sat Oct 21 07:05:26 UTC 2023","Sat Oct 21 07:05:34 UTC 2023","7196","tests","test_api_wallet","","","","test_get_transactions_token[eth]",""
"passed","Sat Oct 21 07:06:07 UTC 2023","Sat Oct 21 07:06:08 UTC 2023","888","tests","test_new_user_flow","","","","test_login_new_user",""
"broken","Sat Oct 21 07:04:39 UTC 2023","Sat Oct 21 07:04:39 UTC 2023","0","tests","test_api_invoices","","","","test_pay_invoice",""
"passed","Sat Oct 21 07:05:11 UTC 2023","Sat Oct 21 07:05:12 UTC 2023","454","tests","test_api_rewards","","","","test_create_campaigns",""
"passed","Sat Oct 21 07:05:58 UTC 2023","Sat Oct 21 07:05:58 UTC 2023","450","tests","test_api_wallet","","","","test_get_payment_address[eth]",""
"passed","Sat Oct 21 07:05:09 UTC 2023","Sat Oct 21 07:05:09 UTC 2023","416","tests","test_api_products","","","","test_get_product_price_tiers",""
"passed","Sat Oct 21 07:05:05 UTC 2023","Sat Oct 21 07:05:06 UTC 2023","480","tests","test_api_members","","","","test_get_chain_total_rewards",""
"failed","Sat Oct 21 07:05:23 UTC 2023","Sat Oct 21 07:05:23 UTC 2023","796","tests","test_api_wallet","","","","test_get_wallet[usdc]",""
"passed","Sat Oct 21 07:04:36 UTC 2023","Sat Oct 21 07:04:36 UTC 2023","407","tests","test_api_health_check","","","","test_wallet_health_check",""
"passed","Sat Oct 21 07:05:18 UTC 2023","Sat Oct 21 07:05:18 UTC 2023","490","tests","test_api_shopping","","","","test_get_purchase_summary",""
"passed","Sat Oct 21 07:04:57 UTC 2023","Sat Oct 21 07:04:57 UTC 2023","418","tests","test_api_member_preferences","","","","test_get_all_member_preferences",""
"failed","Sat Oct 21 07:04:31 UTC 2023","Sat Oct 21 07:04:32 UTC 2023","818","tests","test_api_ethconnect","","","","test_get_token_price[ize]",""
"failed","Sat Oct 21 07:04:41 UTC 2023","Sat Oct 21 07:04:42 UTC 2023","526","tests","test_api_invoices","","","","test_negative_create_invoice_invalid_product",""
"passed","Sat Oct 21 07:05:11 UTC 2023","Sat Oct 21 07:05:11 UTC 2023","410","tests","test_api_rewards","","","","test_get_campaigns",""
"passed","Sat Oct 21 07:05:34 UTC 2023","Sat Oct 21 07:05:40 UTC 2023","6871","tests","test_api_wallet","","","","test_get_transactions_token[ize]",""
"passed","Sat Oct 21 07:04:56 UTC 2023","Sat Oct 21 07:04:56 UTC 2023","111","tests","test_api_login","","","","test_negative_login_step3_invalid_key",""
"passed","Sat Oct 21 07:05:08 UTC 2023","Sat Oct 21 07:05:08 UTC 2023","413","tests","test_api_products","","","","test_get_products",""
"passed","Sat Oct 21 07:04:21 UTC 2023","Sat Oct 21 07:04:22 UTC 2023","457","tests","test_api_agreements","","","","test_delete_agreement",""
"passed","Sat Oct 21 07:05:15 UTC 2023","Sat Oct 21 07:05:15 UTC 2023","407","tests","test_api_roles","","","","test_create_a_role",""
"passed","Sat Oct 21 07:04:53 UTC 2023","Sat Oct 21 07:04:53 UTC 2023","389","tests","test_api_licenses","","","","test_negative_get_member_licenses_invalid_key",""
"passed","Sat Oct 21 07:05:04 UTC 2023","Sat Oct 21 07:05:05 UTC 2023","574","tests","test_api_members","","","","test_get_chain_total_points",""
"passed","Sat Oct 21 07:06:05 UTC 2023","Sat Oct 21 07:06:05 UTC 2023","427","tests","test_api_wallet","","","","test_negative_get_transactions_no_token[usdc]",""
"passed","Sat Oct 21 07:06:02 UTC 2023","Sat Oct 21 07:06:02 UTC 2023","413","tests","test_api_wallet","","","","test_negative_get_wallet_no_token[eth]",""
"passed","Sat Oct 21 07:05:12 UTC 2023","Sat Oct 21 07:05:13 UTC 2023","427","tests","test_api_rewards","","","","test_delete_campaign_by_id",""
"passed","Sat Oct 21 07:04:35 UTC 2023","Sat Oct 21 07:04:36 UTC 2023","411","tests","test_api_health_check","","","","test_shopping_health_check",""
"broken","Sat Oct 21 07:04:44 UTC 2023","Sat Oct 21 07:04:44 UTC 2023","0","tests","test_api_invoices","","","","test_negative_get_invoice_no_token",""
"passed","Sat Oct 21 07:04:59 UTC 2023","Sat Oct 21 07:05:00 UTC 2023","444","tests","test_api_member_preferences","","","","test_negative_delete_member_preference",""
"passed","Sat Oct 21 07:06:02 UTC 2023","Sat Oct 21 07:06:03 UTC 2023","406","tests","test_api_wallet","","","","test_negative_get_wallet_no_token[btc]",""
"passed","Sat Oct 21 07:04:35 UTC 2023","Sat Oct 21 07:04:35 UTC 2023","413","tests","test_api_health_check","","","","test_ethconnect_health_check",""
"passed","Sat Oct 21 07:04:56 UTC 2023","Sat Oct 21 07:04:56 UTC 2023","135","tests","test_api_login","","","","test_negative_login_step3_invalid_token",""
"passed","Sat Oct 21 07:05:16 UTC 2023","Sat Oct 21 07:05:16 UTC 2023","430","tests","test_api_shopping","","","","test_get_expired_invoices",""
"passed","Sat Oct 21 07:04:59 UTC 2023","Sat Oct 21 07:04:59 UTC 2023","420","tests","test_api_member_preferences","","","","test_negative_get_member_preferences_by_id",""
"passed","Sat Oct 21 07:06:12 UTC 2023","Sat Oct 21 07:06:12 UTC 2023","746","tests","test_new_user_flow","","","","test_delete_new_user",""
"failed","Sat Oct 21 07:05:20 UTC 2023","Sat Oct 21 07:05:22 UTC 2023","1330","tests","test_api_wallet","","","","test_get_wallet[ize]",""
"passed","Sat Oct 21 07:04:43 UTC 2023","Sat Oct 21 07:04:44 UTC 2023","425","tests","test_api_invoices","","","","test_negative_get_invoice_invalid_id",""
"passed","Sat Oct 21 07:06:10 UTC 2023","Sat Oct 21 07:06:10 UTC 2023","411","tests","test_new_user_flow","","","","test_wallet_mnemonic",""
"passed","Sat Oct 21 07:06:01 UTC 2023","Sat Oct 21 07:06:02 UTC 2023","425","tests","test_api_wallet","","","","test_negative_get_wallet_invalid_coin",""
"passed","Sat Oct 21 07:05:54 UTC 2023","Sat Oct 21 07:05:55 UTC 2023","1309","tests","test_api_wallet","","","","test_get_gas_fee[eth]",""
"passed","Sat Oct 21 07:05:08 UTC 2023","Sat Oct 21 07:05:08 UTC 2023","448","tests","test_api_products","","","","test_create_product",""
"passed","Sat Oct 21 07:06:06 UTC 2023","Sat Oct 21 07:06:07 UTC 2023","1330","tests","test_new_user_flow","","","","test_create_user_step2",""
"passed","Sat Oct 21 07:04:42 UTC 2023","Sat Oct 21 07:04:42 UTC 2023","406","tests","test_api_invoices","","","","test_negative_create_invoice_null_quantity",""
"passed","Sat Oct 21 07:04:34 UTC 2023","Sat Oct 21 07:04:35 UTC 2023","391","tests","test_api_health_check","","","","test_membership_health_check",""
"passed","Sat Oct 21 07:04:53 UTC 2023","Sat Oct 21 07:04:54 UTC 2023","215","tests","test_api_login","","","","test_login_step1",""
"passed","Sat Oct 21 07:04:28 UTC 2023","Sat Oct 21 07:04:28 UTC 2023","405","tests","test_api_carts","","","","test_add_cart_item",""
"passed","Sat Oct 21 07:05:59 UTC 2023","Sat Oct 21 07:05:59 UTC 2023","441","tests","test_api_wallet","","","","test_get_payment_address[usdc]",""
"passed","Sat Oct 21 07:06:01 UTC 2023","Sat Oct 21 07:06:01 UTC 2023","413","tests","test_api_wallet","","","","test_negative_get_mnemonic_no_token",""
"passed","Sat Oct 21 07:04:32 UTC 2023","Sat Oct 21 07:04:33 UTC 2023","876","tests","test_api_ethconnect","","","","test_get_token_price[btc]",""
"passed","Sat Oct 21 07:04:50 UTC 2023","Sat Oct 21 07:04:51 UTC 2023","419","tests","test_api_licenses","","","","test_get_license_types",""
"passed","Sat Oct 21 07:06:04 UTC 2023","Sat Oct 21 07:06:04 UTC 2023","397","tests","test_api_wallet","","","","test_negative_get_transactions_no_token[ize]",""
"passed","Sat Oct 21 07:05:14 UTC 2023","Sat Oct 21 07:05:14 UTC 2023","433","tests","test_api_roles","","","","test_get_a_role",""
"broken","Sat Oct 21 07:04:39 UTC 2023","Sat Oct 21 07:04:39 UTC 2023","0","tests","test_api_invoices","","","","test_get_invoice",""
"passed","Sat Oct 21 07:05:20 UTC 2023","Sat Oct 21 07:05:20 UTC 2023","706","tests","test_api_wallet","","","","test_get_wallet[eth]",""
"passed","Sat Oct 21 07:05:40 UTC 2023","Sat Oct 21 07:05:47 UTC 2023","6752","tests","test_api_wallet","","","","test_get_transactions_token[btc]",""
"passed","Sat Oct 21 07:05:06 UTC 2023","Sat Oct 21 07:05:06 UTC 2023","400","tests","test_api_messaging","","","","test_get_email_template",""
"passed","Sat Oct 21 07:06:04 UTC 2023","Sat Oct 21 07:06:05 UTC 2023","403","tests","test_api_wallet","","","","test_negative_get_transactions_no_token[btc]",""
"passed","Sat Oct 21 07:04:24 UTC 2023","Sat Oct 21 07:04:24 UTC 2023","428","tests","test_api_agreements","","","","test_negative_delete_agreement",""
"passed","Sat Oct 21 07:05:00 UTC 2023","Sat Oct 21 07:05:00 UTC 2023","401","tests","test_api_member_preferences","","","","test_delete_member_preference",""
